REFINI_ID,Standard_Form_ID,Deposit_ID,Location_Specific,Fabric,Provenance_1,Provenance_2,Standard_Form_ID,Standard_Form,Production,Lower_Date_Form,Upper_Date_Form,Period,Deposit_ID,Deposit,Lower_Date_Deposit,Upper_Date_Deposit,Archaeological_Context
25,4,1,Altinum,,Northern_Italy,Not_Available,4,Consp3,Terra_Sigillata,50,125,Imperial,1,Unknown,Unknown,Unknown,Unknown
26,34,1,Altinum,,Northern_Italy,Not_Available,34,Consp11.1.4,Terra_Sigillata,-10,-1,Imperial,1,Unknown,Unknown,Unknown,Unknown
27,35,1,Altinum,,Northern_Italy,Not_Available,35,Consp12,Terra_Sigillata,-10,14,Imperial,1,Unknown,Unknown,Unknown,Unknown
28,361,1,Altinum,,Northern_Italy,Not_Available,361,Consp18.2.5,Terra_Sigillata,-10,37,Imperial,1,Unknown,Unknown,Unknown,Unknown
29,362,1,Altinum,,Northern_Italy,Not_Available,362,Consp20/21,Terra_Sigillata,-27,100,Imperial,1,Unknown,Unknown,Unknown,Unknown
30,86,1,Altinum,,Northern_Italy,Not_Available,86,Consp20.4.3,Terra_Sigillata,25,96,Imperial,1,Unknown,Unknown,Unknown,Unknown
31,175,1,Altinum,,Northern_Italy,Not_Available,175,ConspB2,Terra_Sigillata,-27,117,Imperial,1,Unknown,Unknown,Unknown,Unknown
32,28,1,Altinum,,Northern_Italy,Not_Available,28,Consp8,Terra_Sigillata,-27,10,Imperial,1,Unknown,Unknown,Unknown,Unknown
33,29,1,Altinum,,Northern_Italy,Not_Available,29,Consp8.1.3,Terra_Sigillata,-10,10,Imperial,1,Unknown,Unknown,Unknown,Unknown
34,30,1,Altinum,,Northern_Italy,Not_Available,30,Consp9,Terra_Sigillata,-10,37,Imperial,1,Unknown,Unknown,Unknown,Unknown
35,30,1,Altinum,,Northern_Italy,Not_Available,30,Consp9,Terra_Sigillata,-10,37,Imperial,1,Unknown,Unknown,Unknown,Unknown
36,55,1,Altinum,,Northern_Italy,Not_Available,55,Consp14.1.1,Terra_Sigillata,-10,-1,Imperial,1,Unknown,Unknown,Unknown,Unknown
37,363,1,Altinum,,Northern_Italy,Not_Available,363,Consp27.1.2,Terra_Sigillata,14,68,Imperial,1,Unknown,Unknown,Unknown,Unknown
38,235,1,Altinum,,Northern_Italy,Not_Available,235,ConspR12,Terra_Sigillata,-40,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
39,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
40,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
41,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
42,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
43,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
44,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
45,236,1,Altinum,,Northern_Italy,Not_Available,236,ConspR13,Terra_Sigillata,-27,25,Imperial,1,Unknown,Unknown,Unknown,Unknown
46,183,1,Altinum,,Northern_Italy,Not_Available,183,ConspB3,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
47,183,1,Altinum,,Northern_Italy,Not_Available,183,ConspB3,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
48,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
49,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
50,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
51,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
52,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
53,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
54,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
55,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
56,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
57,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
58,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
59,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
60,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
61,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
62,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
63,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
64,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
65,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
66,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
67,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
68,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
69,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
70,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
71,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
72,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
73,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
74,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
75,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
76,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
77,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
78,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
79,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
80,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
81,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
82,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
83,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
84,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
85,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
86,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
87,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
88,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
89,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
90,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
91,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
92,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
93,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
94,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
95,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
96,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
97,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
98,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
99,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
100,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
101,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
102,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
103,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
104,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
105,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
106,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
107,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
108,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
109,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
110,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
111,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
112,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
113,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
114,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
115,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
116,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
117,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
118,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
119,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
120,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
121,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
122,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
123,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
124,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
125,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
126,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
127,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
128,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
129,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
130,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
131,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
132,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
133,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
134,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
135,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
136,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
137,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
138,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
139,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
140,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
141,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
142,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
143,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
144,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
145,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
146,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
147,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
148,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
149,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
150,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
151,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
152,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
153,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
154,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
155,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
156,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
157,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
158,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
159,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
160,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
161,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
162,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
163,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
164,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
165,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
166,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
167,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
168,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
169,360,1,Altinum,,Northern_Italy,Not_Available,360,Unknown,Terra_Sigillata,Not_Available,Not_Available,Imperial,1,Unknown,Unknown,Unknown,Unknown
